track_id;track_name;duration_ms;album_name;album_type;artist_name;track_popularity;explicit;artist_genres;album_genres;acousticness;danceability;energy;instrumentalness;key;liveness;loudness;mode;speechness;tempo;time_signature;valence;played_at;date;datetime
637yH6Qs3wXdgjPjO7QGdr;Rooftop;197114;Rooftop;single;Nico Santos;74;FALSE;german pop;;0.250000;0.741;0.706;0.000000;0;0.0648;-6.763;1;0.1370;82.032;4;0.582;2018-06-30T04:57:00.426Z;30/06/18;04:57:00
1XZrMIHtCVJPqK29Mzm44G;Bottom of a Bottle;221827;Shapeshifter;album;Smile Empty Soul;65;FALSE;alternative metal, nu metal, post-grunge, rap metal, rap rock;;0.002360;0.537;0.847;0.000001;6;0.0844;-5.208;1;0.0383;106.055;4;0.459;2018-07-05T04:59:14.204Z;05/07/18;04:59:14
1sBhJGPUKrdRycgKxve70v;Hot2Touch;160826;Hot2Touch;single;Felix Jaehn;73;FALSE;dance pop, edm, pop, tropical house;;0.000875;0.755;0.719;0.000015;1;0.3260;-5.316;0;0.0421;121.986;4;0.813;2018-06-30T05:00:18.087Z;30/06/18;05:00:18
14KKXLz5WHrzGOMUNFV22H;Voglio ballare con te;163802;Voglio ballare con te;single;Baby K;67;FALSE;italian arena pop, italian hip hop;;0.087100;0.756;0.670;0.000000;10;0.1690;-5.296;1;0.0828;94.004;4;0.674;2018-07-05T05:01:36.123Z;05/07/18;05:01:36
19MBk3PbNFE36wqIqkMq9H;La Cintura;205209;La Cintura;single;́lvaro Soler;89;FALSE;;;0.029400;0.702;0.844;0.000000;6;0.3800;-4.054;0;0.0769;100.043;4;0.786;2018-06-27T05:01:58.578Z;27/06/18;05:01:58
4DzgGTs7eaS6DHHOp1xcyj;Passport Home;180167;Raised Under Grey Skies (Deluxe);album;JP Cooper;54;FALSE;neo mellow, pop, tropical house, viral pop;;0.026900;0.604;0.477;0.000000;5;0.1410;-6.567;1;0.0286;85.99;4;0.293;2018-07-05T05:05:00.025Z;05/07/18;05:05:00
6kPJZM97LwdG9QIsT7khp6;Solo (feat. Demi Lovato);222653;Solo (feat. Demi Lovato);single;Clean Bandit;95;FALSE;dance pop, edm, pop, post-teen pop, tropical house, uk funky;;0.044100;0.737;0.636;0.000067;11;0.3500;-4.546;0;0.0437;105.005;4;0.565;2018-06-27T05:05:40.356Z;27/06/18;05:05:40
6yazKbkmXk6m9VGULpqUXi;Fatto male;201253;Musica da giostra, Vol. 5;album;DJ Matrix;45;FALSE;italian hip hop, italian pop;;0.031500;0.642;0.931;0.000000;8;0.1400;-2.088;0;0.0483;100.045;4;0.598;2018-06-28T05:07:33.267Z;28/06/18;05:07:33
429Vk5V8vlbjmIVZMrLqDo;Ginnastica Mentale - F.m.;144067;Lento Violento...e altre storie;album;Gigi D'Agostino;33;FALSE;eurodance, europop, italo dance;;0.018500;0.923;0.800;0.014400;1;0.1250;-11.054;1;0.1700;99.897;4;0.304;2018-07-05T05:08:07.468Z;05/07/18;05:08:07
7dt6x5M1jzdTEt8oCbisTK;Better Now;231267;beerbongs & bentleys;album;Post Malone;100;TRUE;pop, rap;;0.354000;0.680;0.563;0.000000;10;0.1360;-5.843;1;0.0454;145.028;4;0.374;2018-06-27T05:09:23.470Z;27/06/18;05:09:23
